comment,date,source,rating
"Powerful Performance in a Sleek Design. The Redmi 13C in Stardust Black is a powerhouse in terms of performance and design. With 6GB of RAM and 128GB of storage, this phone handles multitasking and storage needs effortlessly. Powered by the 4G MediaTek Helio G85 processor, it delivers smooth and lag-free operation, whether gaming, streaming videos, or using multiple apps simultaneously. The sleek design and Stardust Black color give it a premium look and feel. The display is vibrant and sharp, perfect for enjoying multimedia content. The camera captures detailed photos and videos, even in challenging lighting conditions. Overall, the Redmi 13C offers excellent value for money with its powerful performance and stylish design. Highly recommended for users looking for a reliable smartphone with impressive features!",22-06-2024,amazon,5
"Good mobile in this price segment. I purchased this mobile to play free fire, it runs very well in standard quality, but there is no game turbo, voice changer, split screen option in this mobile😭, it stacks and restart when I open and using a heavy apps, average camera quality but best quality in this budget range, slow downloading on mobile data, battery backup is not bad.  but I liked this phone in this price segment.Review after using 7 days",18-03-2024,amazon,4
"Value for money. Nice camera, sound, value for money mobile. Ease of use...",17-06-2024,amazon,5
"Phone Review. I am also seller on Amazon, I know the value of rating , Rating is helpful for seller, increase the growth and by this other customer satisfaction and customer purchase the product without any doubt, Redmi 13C it is gud phone under this price, battery quality, camera, and charging, everything is best, so without any thinking and discussion purchase this phone, thanks sumit Arora From Anaya Fashion Collection",11-06-2024,amazon,5
"Nice phone. This phone is one of the best phone under 20000,the camera is also nice but this phone is a bit laggy , but overall it's nice and can work for 2 years very easily.",20-05-2024,amazon,4
"Good. Camera is not so good , features, speed, body is good.",05-06-2024,amazon,3
Superbb. Excellent phone and camera,19-06-2024,amazon,5
"13C 6/128gb. After 3days of usage for 6/128gb phone myoverall experience is good whether it comes in terms for camera clarity, games, phone system processor.,display quality is very good as compare to price range of this phone. No heating issues and no lagging issues were found till nowCons -speaker Sound of this phone is not upto the mark quality need to be improved .Battery 🔋drains very early as compare to other phones with same battery size. As I have to charge my new phone twice due to heavy internet usage.🔋⚡ takes approx more than 2hours to be full .No quick charging is there in this phone.Overall we can consider this phone if u are okay with the battery 🔋in this budget.",04-06-2024,amazon,4
Affordable. Appearance of mobile is good and quality of sound is just ok mobile is not hanging  ease of use overall good mobile in affordable  budgetNo heating problemTouch is goodBattery life is the biggest  problem  if we see 10 minute  video battery drains quickly  from 80 to 60 I faced personally,17-06-2024,amazon,4
Good one. Nice,22-06-2024,amazon,4
