comment,date,source,category,score
powerful performance in a sleek design. the redmi 13c in stardust black is a powerhouse in terms of performance and design. with 6gb of ram and 128gb of storage this phone handles multitasking and storage needs effortlessly. powered by the 4g mediatek helio g85 processor it delivers smooth and lagfree operation whether gaming streaming videos or using multiple apps simultaneously. the sleek design and stardust black color give it a premium look and feel. the display is vibrant and sharp perfect for enjoying multimedia content. the camera captures detailed photos and videos even in challenging lighting conditions. overall the redmi 13c offers excellent value for money with its powerful performance and stylish design. highly recommended for users looking for a reliable smartphone with impressive features,22-06-2024,amazon,Positive,5
value for money. nice camera sound value for money mobile. ease of use...,17-06-2024,amazon,Positive,5
phone review. i am also seller on amazon i know the value of rating  rating is helpful for seller increase the growth and by this other customer satisfaction and customer purchase the product without any doubt redmi 13c it is gud phone under this price battery quality camera and charging everything is best so without any thinking and discussion purchase this phone thanks sumit arora from anaya fashion collection,11-06-2024,amazon,Positive,5
superbb. excellent phone and camera,19-06-2024,amazon,Positive,5
superb product good features. awesome product very nice look totally i loved it thank u amazon with good features👌👌👌👌👍👍👍👍👍👌👍👌👌👍👌👍👍👌👌👍👌👍👍👍👍👌👌👍👌👍👍👍👍👌👌👍👌👍👍👍👍👌👌👍👌👍👍👍👍👌👌👍👌👍👍👍👍👌👌👍👌 superb quality nice packing faster delivery,23-06-2024,amazon,Positive,5
master piece... master piece in this small budget...loved the body and battery performance... i gifted to my mom..she is happy user...thank you amazon and red mi,17-06-2024,amazon,Positive,5
great phone. good phone packed with features at this price,16-06-2024,amazon,Positive,5
mobile. the mobile is usable for office work not for gaming purpose and is very light weight,15-06-2024,amazon,Positive,5
worth purchasing... go for it⭐⭐⭐⭐⭐,12-06-2024,amazon,Positive,5
worth buying. worth buying at low price,08-06-2024,amazon,Positive,5
nice. camera quality good and bettery back up ok everything is good,31-05-2024,amazon,Positive,5
product quality. such a nice product. i got same product as mentioned in picture platform's site..👌👍 thanks amazon🙂,13-06-2024,amazon,Positive,5
hey editors you are like the best editors stuck on to the best tech channel,23-06-2024,youtube,Positive,4.88
it was awesome experience at mi store got the best deal .....the way we were attended by mi store worker was awesome.....,27-06-2019,google,Positive,4.86
micommerce best series  10/10 .. meet with rishpal singh he is very nice guy giving me  best response and good knowledgeable person.,26-06-2020,google,Positive,4.82
this is the best level of expertise to review and compare a product like mobile device with covering every usable aspect from software to hardware of product really awesome i really liked it keep it up,23-06-2024,youtube,Positive,4.8
mi commerce  it's a very good service delivery time to time and very good nature mr rishpal singh very good all's staff,26-06-2020,google,Positive,4.78
great experience with guys harish...he is so politely attend and he so good behavior with me and explain all the offer. that's why i purchase redmi note 12.  i'm very happy with this.... thank you,26-06-2023,google,Positive,4.76
very good service provide by rdc team..i am very happy with mi commerce...,26-06-2021,google,Positive,4.76
great place to experience and shop for all xiaomi products. excellent shopping experience ),26-06-2021,google,Positive,4.74
excellent staff nd  store ambience is very good.,26-06-2020,google,Positive,4.74
excellent review thank you,24-06-2024,youtube,Positive,4.74
mi store service very good and also mr. jitendra dealing customer very good. i am happy mi service. thnks  to mi company for better products.,27-06-2019,google,Positive,4.7
good job  the service was excellent and despite the cornavirus pandemic we were attended very nicely,26-06-2021,google,Positive,4.7
best products at best price and friendly customer service,27-06-2019,google,Positive,4.7
best place to buy mi phones good customer assistance contacted with rishipal singh get good deal here.,26-06-2021,google,Positive,4.68
awesome experience bat mi home rdc and staff behavior is so good,27-06-2019,google,Positive,4.68
very very beautiful,25-06-2024,facebook,Positive,4.66
mi commerce it's a very good service  with delivery time to time and staff behaviour very good thanku mi home,26-06-2020,google,Positive,4.66
this store is very nice then environment is very good nd staff nature also good over all gpod,27-06-2019,google,Positive,4.66
good response for ranjit singh  very great man in store,27-06-2019,google,Positive,4.66
very superb on point comparison,25-06-2024,youtube,Positive,4.66
best phone for me now,21-06-2024,facebook,Positive,4.64
the best xiaomi ,21-06-2024,facebook,Positive,4.64
the best,24-06-2024,facebook,Positive,4.64
very good staff very friendly. each and every detail of the product was explained. very good way of talking. (salesman rishpal singh),27-06-2019,google,Positive,4.64
fantabulous host. provided best details of variety of products. purchased two mobiles instead of one.,27-06-2019,google,Positive,4.64
mi commerce  best products  thanks rishpal singh for best service and on time delivery of our products,26-06-2020,google,Positive,4.64
best staff behavior good store experience,27-06-2019,google,Positive,4.64
good behavior and best services by gaurav sharma,27-06-2019,google,Positive,4.64
best place to buy mi product in ghaziabad they are offical mi store in ghaziabad.,26-06-2020,google,Positive,4.64
hey are u ganna do a best phones of 2024 video after the iphone 16s release,23-06-2024,youtube,Positive,4.64
hey are u ganna do a best phones of 2024 video after the iphone 16s release,23-06-2024,youtube,Positive,4.64
you're the best mrwhosetheboss you should even do pixel 8 pro vs samsung s24 camera comparison,23-06-2024,youtube,Positive,4.64
you're the best mrwhosetheboss you should even do pixel 8 pro vs samsung s24 camera comparison,23-06-2024,youtube,Positive,4.64
i am sold..... but damn usa does not have this awesome phone for sell,24-06-2024,youtube,Positive,4.64
you are the best youtuber ever,23-06-2024,youtube,Positive,4.64
excellent special rishpal singh is very good representative of outlet,27-06-2019,google,Positive,4.62
awesome content and video comprision as always arun brother,23-06-2024,youtube,Positive,4.62
awesome content and video comprision as always arun brother,23-06-2024,youtube,Positive,4.62
the catch was awesome,23-06-2024,youtube,Positive,4.62
the editing is awesome on these videos,23-06-2024,youtube,Positive,4.62
the catch was awesome,23-06-2024,youtube,Positive,4.62
the editing is awesome on these videos,23-06-2024,youtube,Positive,4.62
very nice and supportive service with great customer service.. keep up the good work.,26-06-2021,google,Positive,4.6
good store good quality phone staff is very good,26-06-2020,google,Positive,4.6
very good experience good people love to come again..,26-06-2020,google,Positive,4.6
i would have loved a solo review before a comparison video  great one either way,23-06-2024,youtube,Positive,4.6
i would have loved a solo review before a comparison video  great one either way,23-06-2024,youtube,Positive,4.6
this is so nice that company opened own showroom at rdc this is so beneficial for us. and i am xiaomi lover. today i gone to mi home rdc to buy redmi y2 and mr.gaurav attend us so politely even all staff behaviour are so good. thankyou,27-06-2019,google,Positive,4.58
i had the brilliant experience by nitin singh he his good customer handling experience to suppothe customer,26-06-2021,google,Positive,4.58
very nice experience then staff always very good thanku mi,27-06-2019,google,Positive,4.58
beauriful customer care.... perfect place to buy mobile.... thumbs up to the team,27-06-2019,google,Positive,4.58
owsm store then environment is very good nd staff also very nice,27-06-2019,google,Positive,4.58
i visited on 20march19 to buy redmi note 7 believe me this is best store in gzb with some of professional and good staff. i brought note7 and m quite happy with its performance.,27-06-2019,google,Positive,4.56
very good behaviour staff specialy krishan ...very good covencing...,26-06-2022,google,Positive,4.56
it's very good communication and good service.thanks to all for suppome,27-06-2019,google,Positive,4.56
everything is good in store. beautiful store. clean. all people are good in your store.,27-06-2019,google,Positive,4.56
